name,shot_made_flag,shot_type,shot_distance,x,y
DeMar DeRozan,0,2PT Field Goal,4,6,44
DeMar DeRozan,0,2PT Field Goal,17,-147,96
DeMar DeRozan,0,2PT Field Goal,18,-119,143
DeMar DeRozan,0,2PT Field Goal,14,89,119
DeMar DeRozan,0,2PT Field Goal,8,-40,71
DeMar DeRozan,1,2PT Field Goal,20,-157,134
DeMar DeRozan,1,2PT Field Goal,19,159,112
DeMar DeRozan,1,2PT Field Goal,13,-138,12
DeMar DeRozan,1,2PT Field Goal,19,2,198
DeMar DeRozan,1,2PT Field Goal,17,149,93
DeMar DeRozan,0,2PT Field Goal,11,97,55
DeMar DeRozan,0,3PT Field Goal,22,-226,11
DeMar DeRozan,0,2PT Field Goal,15,-82,129
DeMar DeRozan,0,2PT Field Goal,8,73,48
DeMar DeRozan,1,3PT Field Goal,22,-226,41
DeMar DeRozan,0,2PT Field Goal,21,-161,135
DeMar DeRozan,0,2PT Field Goal,22,-187,116
DeMar DeRozan,1,2PT Field Goal,19,-172,101
DeMar DeRozan,1,3PT Field Goal,23,228,33
DeMar DeRozan,0,3PT Field Goal,25,-100,231
DeMar DeRozan,0,3PT Field Goal,23,233,12
DeMar DeRozan,0,2PT Field Goal,18,-62,172
DeMar DeRozan,1,3PT Field Goal,24,1,246
DeMar DeRozan,1,2PT Field Goal,20,179,102
DeMar DeRozan,1,2PT Field Goal,19,-79,173
DeMar DeRozan,1,2PT Field Goal,16,144,85
DeMar DeRozan,1,2PT Field Goal,15,136,83
DeMar DeRozan,1,2PT Field Goal,17,124,123
DeMar DeRozan,1,2PT Field Goal,19,-191,20
DeMar DeRozan,1,2PT Field Goal,17,-134,116
DeMar DeRozan,1,2PT Field Goal,20,198,56
DeMar DeRozan,1,2PT Field Goal,3,-32,14
DeMar DeRozan,0,2PT Field Goal,18,-187,15
DeMar DeRozan,0,2PT Field Goal,19,-75,175
DeMar DeRozan,0,2PT Field Goal,6,29,63
DeMar DeRozan,0,2PT Field Goal,16,133,104
DeMar DeRozan,0,2PT Field Goal,17,-139,112
DeMar DeRozan,0,2PT Field Goal,8,-67,50
DeMar DeRozan,0,2PT Field Goal,20,201,11
DeMar DeRozan,0,2PT Field Goal,20,-38,206
DeMar DeRozan,0,2PT Field Goal,17,-71,164
